Date,Time,Region,User Type,Consumption (kWh),Datetime,Time Category,Peak Hour
2024-01-02,12:00,North Zone,Commercial,257,2024-01-02 12:00:00,Afternoon,No
2024-01-02,12:00,North Zone,Industrial,648,2024-01-02 12:00:00,Afternoon,No
2024-01-02,18:00,North Zone,Residential,1177,2024-01-02 18:00:00,Evening,Yes
2024-01-02,18:00,North Zone,Commercial,555,2024-01-02 18:00:00,Evening,Yes
2024-01-02,18:00,North Zone,Industrial,1895,2024-01-02 18:00:00,Evening,Yes
2024-01-02,00:00,South Zone,Residential,393,2024-01-02 00:00:00,Night,No
2024-01-02,00:00,South Zone,Commercial,1672,2024-01-02 00:00:00,Night,No
2024-01-02,00:00,South Zone,Industrial,1348,2024-01-02 00:00:00,Night,No
2024-01-02,06:00,South Zone,Residential,1420,2024-01-02 06:00:00,Morning,No
2024-01-02,06:00,South Zone,Commercial,1277,2024-01-02 06:00:00,Morning,No
2024-01-02,06:00,South Zone,Industrial,553,2024-01-02 06:00:00,Morning,No
2024-01-02,12:00,South Zone,Residential,438,2024-01-02 12:00:00,Afternoon,No
2024-01-02,12:00,South Zone,Commercial,561,2024-01-02 12:00:00,Afternoon,No
2024-01-02,12:00,South Zone,Industrial,1246,2024-01-02 12:00:00,Afternoon,No
2024-01-02,18:00,South Zone,Residential,988,2024-01-02 18:00:00,Evening,Yes
2024-01-02,18:00,South Zone,Commercial,1289,2024-01-02 18:00:00,Evening,Yes
2024-01-02,18:00,South Zone,Industrial,1308,2024-01-02 18:00:00,Evening,Yes
2024-01-02,00:00,East Zone,Residential,1611,2024-01-02 00:00:00,Night,No
2024-01-02,00:00,East Zone,Commercial,257,2024-01-02 00:00:00,Night,No
2024-01-02,00:00,East Zone,Industrial,1376,2024-01-02 00:00:00,Night,No
2024-01-02,06:00,East Zone,Residential,433,2024-01-02 06:00:00,Morning,No
2024-01-02,06:00,East Zone,Commercial,481,2024-01-02 06:00:00,Morning,No
2024-01-02,06:00,East Zone,Industrial,874,2024-01-02 06:00:00,Morning,No
2024-01-02,12:00,East Zone,Residential,916,2024-01-02 12:00:00,Afternoon,No
2024-01-02,12:00,East Zone,Commercial,1448,2024-01-02 12:00:00,Afternoon,No
2024-01-02,12:00,East Zone,Industrial,453,2024-01-02 12:00:00,Afternoon,No
2024-01-02,18:00,East Zone,Residential,870,2024-01-02 18:00:00,Evening,Yes
2024-01-02,18:00,East Zone,Commercial,1243,2024-01-02 18:00:00,Evening,Yes
2024-01-02,18:00,East Zone,Industrial,1787,2024-01-02 18:00:00,Evening,Yes
2024-01-02,00:00,West Zone,Residential,116,2024-01-02 00:00:00,Night,No
2024-01-02,00:00,West Zone,Commercial,1665,2024-01-02 00:00:00,Night,No
2024-01-02,00:00,West Zone,Industrial,995,2024-01-02 00:00:00,Night,No
2024-01-02,06:00,West Zone,Residential,930,2024-01-02 06:00:00,Morning,No
2024-01-02,06:00,West Zone,Commercial,579,2024-01-02 06:00:00,Morning,No
2024-01-02,06:00,West Zone,Industrial,600,2024-01-02 06:00:00,Morning,No
2024-01-02,12:00,West Zone,Residential,1025,2024-01-02 12:00:00,Afternoon,No
2024-01-02,12:00,West Zone,Commercial,264,2024-01-02 12:00:00,Afternoon,No
2024-01-02,12:00,West Zone,Industrial,570,2024-01-02 12:00:00,Afternoon,No
2024-01-02,18:00,West Zone,Residential,315,2024-01-02 18:00:00,Evening,Yes
2024-01-02,18:00,West Zone,Commercial,646,2024-01-02 18:00:00,Evening,Yes
2024-01-02,18:00,West Zone,Industrial,367,2024-01-02 18:00:00,Evening,Yes
2024-01-03,00:00,North Zone,Residential,672,2024-01-03 00:00:00,Night,No
2024-01-03,00:00,North Zone,Commercial,632,2024-01-03 00:00:00,Night,No
2024-01-03,00:00,North Zone,Industrial,333,2024-01-03 00:00:00,Night,No
2024-01-03,06:00,North Zone,Residential,311,2024-01-03 06:00:00,Morning,No
2024-01-03,06:00,North Zone,Commercial,513,2024-01-03 06:00:00,Morning,No
2024-01-03,06:00,North Zone,Industrial,851,2024-01-03 06:00:00,Morning,No
2024-01-03,12:00,North Zone,Residential,1631,2024-01-03 12:00:00,Afternoon,No
2024-01-03,12:00,North Zone,Commercial,150,2024-01-03 12:00:00,Afternoon,No
2024-01-03,12:00,North Zone,Industrial,610,2024-01-03 12:00:00,Afternoon,No
2024-01-03,18:00,North Zone,Residential,799,2024-01-03 18:00:00,Evening,Yes
2024-01-03,18:00,North Zone,Commercial,1548,2024-01-03 18:00:00,Evening,Yes
2024-01-03,18:00,North Zone,Industrial,1183,2024-01-03 18:00:00,Evening,Yes
2024-01-03,00:00,South Zone,Residential,1788,2024-01-03 00:00:00,Night,No
2024-01-03,00:00,South Zone,Commercial,1117,2024-01-03 00:00:00,Night,No
2024-01-03,00:00,South Zone,Industrial,380,2024-01-03 00:00:00,Night,No
2024-01-03,06:00,South Zone,Residential,522,2024-01-03 06:00:00,Morning,No
2024-01-03,06:00,South Zone,Commercial,658,2024-01-03 06:00:00,Morning,No
2024-01-03,06:00,South Zone,Industrial,968,2024-01-03 06:00:00,Morning,No
2024-01-03,12:00,South Zone,Residential,826,2024-01-03 12:00:00,Afternoon,No
2024-01-03,12:00,South Zone,Commercial,1774,2024-01-03 12:00:00,Afternoon,No
2024-01-03,12:00,South Zone,Industrial,1376,2024-01-03 12:00:00,Afternoon,No
2024-01-03,18:00,South Zone,Residential,1391,2024-01-03 18:00:00,Evening,Yes
2024-01-03,18:00,South Zone,Commercial,899,2024-01-03 18:00:00,Evening,Yes
2024-01-03,18:00,South Zone,Industrial,1414,2024-01-03 18:00:00,Evening,Yes
2024-01-03,00:00,East Zone,Residential,199,2024-01-03 00:00:00,Night,No
2024-01-03,00:00,East Zone,Commercial,1884,2024-01-03 00:00:00,Night,No
2024-01-03,00:00,East Zone,Industrial,348,2024-01-03 00:00:00,Night,No
2024-01-03,06:00,East Zone,Residential,261,2024-01-03 06:00:00,Morning,No
2024-01-03,06:00,East Zone,Commercial,628,2024-01-03 06:00:00,Morning,No
2024-01-03,06:00,East Zone,Industrial,503,2024-01-03 06:00:00,Morning,No
2024-01-03,12:00,East Zone,Residential,842,2024-01-03 12:00:00,Afternoon,No
2024-01-03,12:00,East Zone,Commercial,1154,2024-01-03 12:00:00,Afternoon,No
2024-01-03,12:00,East Zone,Industrial,1343,2024-01-03 12:00:00,Afternoon,No
2024-01-03,18:00,East Zone,Residential,1569,2024-01-03 18:00:00,Evening,Yes
2024-01-03,18:00,East Zone,Commercial,446,2024-01-03 18:00:00,Evening,Yes
2024-01-03,18:00,East Zone,Industrial,1070,2024-01-03 18:00:00,Evening,Yes
2024-01-03,00:00,West Zone,Residential,1116,2024-01-03 00:00:00,Night,No
2024-01-03,00:00,West Zone,Commercial,418,2024-01-03 00:00:00,Night,No
2024-01-03,00:00,West Zone,Industrial,616,2024-01-03 00:00:00,Night,No
2024-01-03,06:00,West Zone,Residential,1186,2024-01-03 06:00:00,Morning,No
2024-01-03,06:00,West Zone,Commercial,1424,2024-01-03 06:00:00,Morning,No
2024-01-03,06:00,West Zone,Industrial,1170,2024-01-03 06:00:00,Morning,No
2024-01-03,12:00,West Zone,Residential,528,2024-01-03 12:00:00,Afternoon,No
2024-01-03,12:00,West Zone,Commercial,947,2024-01-03 12:00:00,Afternoon,No
2024-01-03,12:00,West Zone,Industrial,1903,2024-01-03 12:00:00,Afternoon,No
2024-01-03,18:00,West Zone,Residential,1636,2024-01-03 18:00:00,Evening,Yes
2024-01-03,18:00,West Zone,Commercial,1772,2024-01-03 18:00:00,Evening,Yes
2024-01-03,18:00,West Zone,Industrial,1798,2024-01-03 18:00:00,Evening,Yes
2024-01-04,00:00,North Zone,Residential,1774,2024-01-04 00:00:00,Night,No
2024-01-04,00:00,North Zone,Commercial,245,2024-01-04 00:00:00,Night,No
2024-01-04,00:00,North Zone,Industrial,1740,2024-01-04 00:00:00,Night,No
2024-01-04,06:00,North Zone,Residential,1726,2024-01-04 06:00:00,Morning,No
2024-01-04,06:00,North Zone,Commercial,1803,2024-01-04 06:00:00,Morning,No
2024-01-04,06:00,North Zone,Industrial,237,2024-01-04 06:00:00,Morning,No
2024-01-04,12:00,North Zone,Residential,322,2024-01-04 12:00:00,Afternoon,No
2024-01-04,12:00,North Zone,Commercial,907,2024-01-04 12:00:00,Afternoon,No
2024-01-04,12:00,North Zone,Industrial,126,2024-01-04 12:00:00,Afternoon,No
2024-01-04,18:00,North Zone,Residential,1140,2024-01-04 18:00:00,Evening,Yes
2024-01-04,18:00,North Zone,Commercial,1089,2024-01-04 18:00:00,Evening,Yes
2024-01-04,18:00,North Zone,Industrial,1389,2024-01-04 18:00:00,Evening,Yes
2024-01-04,00:00,South Zone,Residential,1260,2024-01-04 00:00:00,Night,No
2024-01-04,00:00,South Zone,Commercial,1312,2024-01-04 00:00:00,Night,No
2024-01-04,00:00,South Zone,Industrial,1860,2024-01-04 00:00:00,Night,No
2024-01-04,06:00,South Zone,Residential,650,2024-01-04 06:00:00,Morning,No
2024-01-04,06:00,South Zone,Commercial,872,2024-01-04 06:00:00,Morning,No
2024-01-04,06:00,South Zone,Industrial,723,2024-01-04 06:00:00,Morning,No
2024-01-04,12:00,South Zone,Residential,201,2024-01-04 12:00:00,Afternoon,No
2024-01-04,12:00,South Zone,Commercial,1167,2024-01-04 12:00:00,Afternoon,No
2024-01-04,12:00,South Zone,Industrial,1473,2024-01-04 12:00:00,Afternoon,No
2024-01-04,18:00,South Zone,Residential,897,2024-01-04 18:00:00,Evening,Yes
2024-01-04,18:00,South Zone,Commercial,289,2024-01-04 18:00:00,Evening,Yes
2024-01-04,18:00,South Zone,Industrial,1040,2024-01-04 18:00:00,Evening,Yes
2024-01-04,00:00,East Zone,Residential,975,2024-01-04 00:00:00,Night,No
2024-01-04,00:00,East Zone,Commercial,275,2024-01-04 00:00:00,Night,No
2024-01-04,00:00,East Zone,Industrial,1640,2024-01-04 00:00:00,Night,No
2024-01-04,06:00,East Zone,Residential,160,2024-01-04 06:00:00,Morning,No
2024-01-04,06:00,East Zone,Commercial,617,2024-01-04 06:00:00,Morning,No
2024-01-04,06:00,East Zone,Industrial,391,2024-01-04 06:00:00,Morning,No
2024-01-04,12:00,East Zone,Residential,338,2024-01-04 12:00:00,Afternoon,No
2024-01-04,12:00,East Zone,Commercial,1895,2024-01-04 12:00:00,Afternoon,No
2024-01-04,12:00,East Zone,Industrial,131,2024-01-04 12:00:00,Afternoon,No
2024-01-04,18:00,East Zone,Residential,967,2024-01-04 18:00:00,Evening,Yes
2024-01-04,18:00,East Zone,Commercial,1108,2024-01-04 18:00:00,Evening,Yes
2024-01-04,18:00,East Zone,Industrial,361,2024-01-04 18:00:00,Evening,Yes
2024-01-04,00:00,West Zone,Residential,1923,2024-01-04 00:00:00,Night,No
2024-01-04,00:00,West Zone,Commercial,121,2024-01-04 00:00:00,Night,No
2024-01-04,00:00,West Zone,Industrial,390,2024-01-04 00:00:00,Night,No
2024-01-04,06:00,West Zone,Residential,1957,2024-01-04 06:00:00,Morning,No
2024-01-04,06:00,West Zone,Commercial,1019,2024-01-04 06:00:00,Morning,No
2024-01-04,06:00,West Zone,Industrial,1105,2024-01-04 06:00:00,Morning,No
2024-01-04,12:00,West Zone,Residential,1262,2024-01-04 12:00:00,Afternoon,No
2024-01-04,12:00,West Zone,Commercial,1769,2024-01-04 12:00:00,Afternoon,No
2024-01-04,12:00,West Zone,Industrial,1172,2024-01-04 12:00:00,Afternoon,No
2024-01-04,18:00,West Zone,Residential,1653,2024-01-04 18:00:00,Evening,Yes
2024-01-04,18:00,West Zone,Commercial,1720,2024-01-04 18:00:00,Evening,Yes
2024-01-04,18:00,West Zone,Industrial,1595,2024-01-04 18:00:00,Evening,Yes
2024-01-05,00:00,North Zone,Residential,1521,2024-01-05 00:00:00,Night,No
2024-01-05,00:00,North Zone,Commercial,1629,2024-01-05 00:00:00,Night,No
2024-01-05,00:00,North Zone,Industrial,1815,2024-01-05 00:00:00,Night,No
2024-01-05,06:00,North Zone,Residential,1347,2024-01-05 06:00:00,Morning,No
2024-01-05,06:00,North Zone,Commercial,1890,2024-01-05 06:00:00,Morning,No
2024-01-05,06:00,North Zone,Industrial,978,2024-01-05 06:00:00,Morning,No
2024-01-05,12:00,North Zone,Residential,399,2024-01-05 12:00:00,Afternoon,No
2024-01-05,12:00,North Zone,Commercial,1118,2024-01-05 12:00:00,Afternoon,No
2024-01-05,12:00,North Zone,Industrial,1761,2024-01-05 12:00:00,Afternoon,No
2024-01-05,18:00,North Zone,Residential,773,2024-01-05 18:00:00,Evening,Yes
2024-01-05,18:00,North Zone,Commercial,990,2024-01-05 18:00:00,Evening,Yes
2024-01-05,18:00,North Zone,Industrial,1552,2024-01-05 18:00:00,Evening,Yes
2024-01-05,00:00,South Zone,Residential,821,2024-01-05 00:00:00,Night,No
2024-01-05,00:00,South Zone,Commercial,1624,2024-01-05 00:00:00,Night,No
2024-01-05,00:00,South Zone,Industrial,1591,2024-01-05 00:00:00,Night,No
2024-01-05,06:00,South Zone,Residential,328,2024-01-05 06:00:00,Morning,No
2024-01-05,06:00,South Zone,Commercial,874,2024-01-05 06:00:00,Morning,No
2024-01-05,06:00,South Zone,Industrial,775,2024-01-05 06:00:00,Morning,No
2024-01-05,12:00,South Zone,Residential,1830,2024-01-05 12:00:00,Afternoon,No
2024-01-05,12:00,South Zone,Commercial,1860,2024-01-05 12:00:00,Afternoon,No
2024-01-05,12:00,South Zone,Industrial,1464,2024-01-05 12:00:00,Afternoon,No
2024-01-05,18:00,South Zone,Residential,422,2024-01-05 18:00:00,Evening,Yes
2024-01-05,18:00,South Zone,Commercial,777,2024-01-05 18:00:00,Evening,Yes
2024-01-05,18:00,South Zone,Industrial,794,2024-01-05 18:00:00,Evening,Yes
2024-01-05,00:00,East Zone,Residential,394,2024-01-05 00:00:00,Night,No
2024-01-05,00:00,East Zone,Commercial,820,2024-01-05 00:00:00,Night,No
2024-01-05,00:00,East Zone,Industrial,258,2024-01-05 00:00:00,Night,No
2024-01-05,06:00,East Zone,Residential,1356,2024-01-05 06:00:00,Morning,No
2024-01-05,06:00,East Zone,Commercial,1389,2024-01-05 06:00:00,Morning,No
2024-01-05,06:00,East Zone,Industrial,1822,2024-01-05 06:00:00,Morning,No
2024-01-05,12:00,East Zone,Residential,1709,2024-01-05 12:00:00,Afternoon,No
2024-01-05,12:00,East Zone,Commercial,1016,2024-01-05 12:00:00,Afternoon,No
2024-01-05,12:00,East Zone,Industrial,474,2024-01-05 12:00:00,Afternoon,No
2024-01-05,18:00,East Zone,Residential,1553,2024-01-05 18:00:00,Evening,Yes
2024-01-05,18:00,East Zone,Commercial,1431,2024-01-05 18:00:00,Evening,Yes
2024-01-05,18:00,East Zone,Industrial,1632,2024-01-05 18:00:00,Evening,Yes
2024-01-05,00:00,West Zone,Residential,214,2024-01-05 00:00:00,Night,No
2024-01-05,00:00,West Zone,Commercial,1971,2024-01-05 00:00:00,Night,No
2024-01-05,00:00,West Zone,Industrial,1666,2024-01-05 00:00:00,Night,No
2024-01-05,06:00,West Zone,Residential,1224,2024-01-05 06:00:00,Morning,No
2024-01-05,06:00,West Zone,Commercial,1806,2024-01-05 06:00:00,Morning,No
2024-01-05,06:00,West Zone,Industrial,1345,2024-01-05 06:00:00,Morning,No
2024-01-05,12:00,West Zone,Residential,1841,2024-01-05 12:00:00,Afternoon,No
2024-01-05,12:00,West Zone,Commercial,1257,2024-01-05 12:00:00,Afternoon,No
2024-01-05,12:00,West Zone,Industrial,1244,2024-01-05 12:00:00,Afternoon,No
2024-01-05,18:00,West Zone,Residential,1171,2024-01-05 18:00:00,Evening,Yes
2024-01-05,18:00,West Zone,Commercial,653,2024-01-05 18:00:00,Evening,Yes
2024-01-05,18:00,West Zone,Industrial,680,2024-01-05 18:00:00,Evening,Yes
2024-01-06,00:00,North Zone,Residential,1659,2024-01-06 00:00:00,Night,No
2024-01-06,00:00,North Zone,Commercial,1033,2024-01-06 00:00:00,Night,No
2024-01-06,00:00,North Zone,Industrial,1847,2024-01-06 00:00:00,Night,No
2024-01-06,06:00,North Zone,Residential,416,2024-01-06 06:00:00,Morning,No
2024-01-06,06:00,North Zone,Commercial,1620,2024-01-06 06:00:00,Morning,No
2024-01-06,06:00,North Zone,Industrial,1412,2024-01-06 06:00:00,Morning,No
2024-01-06,12:00,North Zone,Residential,328,2024-01-06 12:00:00,Afternoon,No
2024-01-06,12:00,North Zone,Commercial,1148,2024-01-06 12:00:00,Afternoon,No
2024-01-06,12:00,North Zone,Industrial,474,2024-01-06 12:00:00,Afternoon,No
2024-01-06,18:00,North Zone,Residential,1144,2024-01-06 18:00:00,Evening,Yes
2024-01-06,18:00,North Zone,Commercial,876,2024-01-06 18:00:00,Evening,Yes
2024-01-06,18:00,North Zone,Industrial,1877,2024-01-06 18:00:00,Evening,Yes
2024-01-06,00:00,South Zone,Residential,393,2024-01-06 00:00:00,Night,No
2024-01-06,00:00,South Zone,Commercial,1698,2024-01-06 00:00:00,Night,No
2024-01-06,00:00,South Zone,Industrial,1046,2024-01-06 00:00:00,Night,No
2024-01-06,06:00,South Zone,Residential,505,2024-01-06 06:00:00,Morning,No
2024-01-06,06:00,South Zone,Commercial,1938,2024-01-06 06:00:00,Morning,No
2024-01-06,06:00,South Zone,Industrial,1857,2024-01-06 06:00:00,Morning,No
2024-01-06,12:00,South Zone,Residential,540,2024-01-06 12:00:00,Afternoon,No
2024-01-06,12:00,South Zone,Commercial,583,2024-01-06 12:00:00,Afternoon,No
2024-01-06,12:00,South Zone,Industrial,1367,2024-01-06 12:00:00,Afternoon,No
2024-01-06,18:00,South Zone,Residential,385,2024-01-06 18:00:00,Evening,Yes
2024-01-06,18:00,South Zone,Commercial,1687,2024-01-06 18:00:00,Evening,Yes
2024-01-06,18:00,South Zone,Industrial,116,2024-01-06 18:00:00,Evening,Yes
2024-01-06,00:00,East Zone,Residential,442,2024-01-06 00:00:00,Night,No
2024-01-06,00:00,East Zone,Commercial,1006,2024-01-06 00:00:00,Night,No
2024-01-06,00:00,East Zone,Industrial,1352,2024-01-06 00:00:00,Night,No
2024-01-06,06:00,East Zone,Residential,1877,2024-01-06 06:00:00,Morning,No
2024-01-06,06:00,East Zone,Commercial,503,2024-01-06 06:00:00,Morning,No
2024-01-06,06:00,East Zone,Industrial,1528,2024-01-06 06:00:00,Morning,No
2024-01-06,12:00,East Zone,Residential,504,2024-01-06 12:00:00,Afternoon,No
2024-01-06,12:00,East Zone,Commercial,1338,2024-01-06 12:00:00,Afternoon,No
2024-01-06,12:00,East Zone,Industrial,151,2024-01-06 12:00:00,Afternoon,No
2024-01-06,18:00,East Zone,Residential,1749,2024-01-06 18:00:00,Evening,Yes
2024-01-06,18:00,East Zone,Commercial,1015,2024-01-06 18:00:00,Evening,Yes
2024-01-06,18:00,East Zone,Industrial,712,2024-01-06 18:00:00,Evening,Yes
2024-01-06,00:00,West Zone,Residential,1321,2024-01-06 00:00:00,Night,No
2024-01-06,00:00,West Zone,Commercial,1614,2024-01-06 00:00:00,Night,No
2024-01-06,00:00,West Zone,Industrial,1182,2024-01-06 00:00:00,Night,No
2024-01-06,06:00,West Zone,Residential,1047,2024-01-06 06:00:00,Morning,No
2024-01-06,06:00,West Zone,Commercial,1783,2024-01-06 06:00:00,Morning,No
2024-01-06,06:00,West Zone,Industrial,336,2024-01-06 06:00:00,Morning,No
2024-01-06,12:00,West Zone,Residential,1151,2024-01-06 12:00:00,Afternoon,No
2024-01-06,12:00,West Zone,Commercial,1004,2024-01-06 12:00:00,Afternoon,No
2024-01-06,12:00,West Zone,Industrial,458,2024-01-06 12:00:00,Afternoon,No
2024-01-06,18:00,West Zone,Residential,1651,2024-01-06 18:00:00,Evening,Yes
2024-01-06,18:00,West Zone,Commercial,723,2024-01-06 18:00:00,Evening,Yes
2024-01-06,18:00,West Zone,Industrial,721,2024-01-06 18:00:00,Evening,Yes
2024-01-07,00:00,North Zone,Residential,1173,2024-01-07 00:00:00,Night,No
2024-01-07,00:00,North Zone,Commercial,1961,2024-01-07 00:00:00,Night,No
2024-01-07,00:00,North Zone,Industrial,1724,2024-01-07 00:00:00,Night,No
2024-01-07,06:00,North Zone,Residential,873,2024-01-07 06:00:00,Morning,No
2024-01-07,06:00,North Zone,Commercial,478,2024-01-07 06:00:00,Morning,No
2024-01-07,06:00,North Zone,Industrial,983,2024-01-07 06:00:00,Morning,No
2024-01-07,12:00,North Zone,Residential,1158,2024-01-07 12:00:00,Afternoon,No
2024-01-07,12:00,North Zone,Commercial,373,2024-01-07 12:00:00,Afternoon,No
2024-01-07,12:00,North Zone,Industrial,832,2024-01-07 12:00:00,Afternoon,No
2024-01-07,18:00,North Zone,Residential,550,2024-01-07 18:00:00,Evening,Yes
2024-01-07,18:00,North Zone,Commercial,1616,2024-01-07 18:00:00,Evening,Yes
2024-01-07,18:00,North Zone,Industrial,1327,2024-01-07 18:00:00,Evening,Yes
2024-01-07,00:00,South Zone,Residential,1015,2024-01-07 00:00:00,Night,No
2024-01-07,00:00,South Zone,Commercial,1047,2024-01-07 00:00:00,Night,No
2024-01-07,00:00,South Zone,Industrial,461,2024-01-07 00:00:00,Night,No
2024-01-07,06:00,South Zone,Residential,1509,2024-01-07 06:00:00,Morning,No
2024-01-07,06:00,South Zone,Commercial,472,2024-01-07 06:00:00,Morning,No
2024-01-07,06:00,South Zone,Industrial,1629,2024-01-07 06:00:00,Morning,No
2024-01-07,12:00,South Zone,Residential,217,2024-01-07 12:00:00,Afternoon,No
2024-01-07,12:00,South Zone,Commercial,891,2024-01-07 12:00:00,Afternoon,No
2024-01-07,12:00,South Zone,Industrial,1475,2024-01-07 12:00:00,Afternoon,No
2024-01-07,18:00,South Zone,Residential,1416,2024-01-07 18:00:00,Evening,Yes
2024-01-07,18:00,South Zone,Commercial,816,2024-01-07 18:00:00,Evening,Yes
2024-01-07,18:00,South Zone,Industrial,685,2024-01-07 18:00:00,Evening,Yes
2024-01-07,00:00,East Zone,Residential,1126,2024-01-07 00:00:00,Night,No
2024-01-07,00:00,East Zone,Commercial,1768,2024-01-07 00:00:00,Night,No
2024-01-07,00:00,East Zone,Industrial,1090,2024-01-07 00:00:00,Night,No
2024-01-07,06:00,East Zone,Residential,315,2024-01-07 06:00:00,Morning,No
2024-01-07,06:00,East Zone,Commercial,249,2024-01-07 06:00:00,Morning,No
2024-01-07,06:00,East Zone,Industrial,273,2024-01-07 06:00:00,Morning,No
2024-01-07,12:00,East Zone,Residential,121,2024-01-07 12:00:00,Afternoon,No
2024-01-07,12:00,East Zone,Commercial,1382,2024-01-07 12:00:00,Afternoon,No
2024-01-07,12:00,East Zone,Industrial,537,2024-01-07 12:00:00,Afternoon,No
2024-01-07,18:00,East Zone,Residential,218,2024-01-07 18:00:00,Evening,Yes
2024-01-07,18:00,East Zone,Commercial,394,2024-01-07 18:00:00,Evening,Yes
2024-01-07,18:00,East Zone,Industrial,790,2024-01-07 18:00:00,Evening,Yes
